timestamp,data
1724595495604105886,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495616470551,"array('d', [0.0, 0.009804260362174452, 0.0, 0.0])"
1724595495625901330,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495627544369,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495643833191,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495645788993,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495652604067,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495657037865,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495658678247,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495660650091,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495665388840,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495667018025,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495668812211,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495672583033,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495674237009,"array('d', [0.0, 0.0, 0.0, -0.003243179193636273])"
1724595495682756476,"array('d', [0.0027034912748613894, -0.0032048706128183987, 0.002849358563360217, -0.022218766387659093])"
1724595495684573943,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595495689721187,"array('d', [0.028498216341173565, -0.01997371516236545, 0.029275543753043934, -0.04131917219940169])"
1724595495691195317,"array('d', [0.0, 0.0, 0.0, -0.0639437569596809])"
1724595495698531334,"array('d', [0.05433987994332302, -0.05752496480560911, 0.05451016368992554, -0.07542959563039378])"
1724595495700200258,"array('d', [0.0, 0.0, 0.07392735199689288, 0.0])"
1724595495706892726,"array('d', [0.08552937933030612, -0.07789860471277653, 0.09847599575308519, -0.09614569741113639])"
1724595495709029989,"array('d', [0.11904791413899128, -0.062364264704420865, 0.11059245260033847, -0.07416562295011174])"
1724595495713746967,"array('d', [0.1321885993063532, -0.07679165511650622, 0.1325788416625968, -0.0781501363285862])"
1724595495715308703,"array('d', [0.0, 0.0, 0.0, -0.05658008997433748])"
1724595495723127746,"array('d', [0.15758382060127898, -0.09006978810405535, 0.14386345504066197, -0.06839365644908021])"
1724595495725300790,"array('d', [0.15207138421095315, -0.10129483374381577, 0.14479275385555712, 0.0])"
1724595495728709316,"array('d', [0.131944645212024, -0.12859053952338212, 0.12018433187435229, -0.07640604346783399])"
1724595495730369282,"array('d', [0.14639918840941432, -0.12235108204434786, 0.12951752298449157, -0.0854700220787092])"
1724595495737641340,"array('d', [0.15549600294670485, -0.17523797224379292, 0.12073749094242575, -0.12489818169532088])"
1724595495744133910,"array('d', [0.161245236883295, -0.21347604001455706, 0.12531157758942146, -0.17532153546678578])"
1724595495752111236,"array('d', [0.17754785337508608, -0.23037580729634982, 0.15732955265826803, -0.19142145325897456])"
1724595495761132687,"array('d', [0.19451687078374189, -0.23005334166001473, 0.1822076081121525, -0.20389005436836136])"
1724595495768449225,"array('d', [0.2091762175478124, -0.23394902964780162, 0.20170920158894384, -0.21582254583300572])"
1724595495776216444,"array('d', [0.20487618459435994, -0.25466913067599223, 0.19709870074150038, -0.21555270187361827])"
1724595495784660338,"array('d', [0.20128254503225246, -0.2611668553454855, 0.20053658013984288, -0.23259223232938395])"
1724595495800720251,"array('d', [0.19546069318147458, -0.25514062090144296, 0.19008359974425804, -0.23613830189553078])"
1724595495825977607,"array('d', [0.1736944732155651, -0.2421367520941449, 0.1756583141992506, -0.20909749551909873])"
1724595495832744399,"array('d', [0.17505042858715159, -0.22627152698114253, 0.15102421283969533, -0.19578694757854986])"
1724595495841476525,"array('d', [0.1597739347958393, -0.2105940560114893, 0.1432016848313686, -0.19258439231951716])"
1724595495847870552,"array('d', [0.1476821048933975, -0.18876363759970372, 0.1332431377123837, -0.18006758975404633])"
1724595495857075651,"array('d', [0.13867643110058028, -0.17392895540804373, 0.13364158905023113, -0.16203856128495744])"
1724595495865036467,"array('d', [0.1263920058605102, -0.14697297517485128, 0.12370893179630447, -0.1469590830521371])"
1724595495873334890,"array('d', [0.11419451163075756, -0.12628676250661494, 0.11111467012236673, -0.13345320344675862])"
1724595495874916626,"array('d', [0.10634840911115828, -0.11968737275725887, 0.0917776772510676, -0.1207166527583545])"
1724595495924852686,"array('d', [0.05074834524829344, -0.060302336914904976, 0.06708169279942192, -0.08555926844281238])"
1724595495978825405,"array('d', [0.0, 0.0, 0.0, -0.022439356457423554])"
1724595495996261479,"array('d', [0.0, 0.0, 0.002487952886083901, 0.0])"
1724595495999205781,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496003149522,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496008599789,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496016696544,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496024126103,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496032483850,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496040679981,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496048406731,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595496057194795,"array('d', [-0.0013858444840927583, 0.0013719523613785842, 0.0, 0.0])"
1724595496065079360,"array('d', [0.0, 0.0, -0.0027312755202897375, 0.0016697910529021648])"
1724595496073965445,"array('d', [-0.03998721231250331, 0.026031312125868712, -0.03482902505138892, 0.025924805851726712])"
1724595496081718186,"array('d', [-0.08127923172660002, 0.03839845864210049, -0.05600440882853042, 0.05300855151654801])"
1724595496091443864,"array('d', [-0.11364661473037886, 0.0675790728899309, -0.09032195117998838, 0.0837631853652359])"
1724595496100252553,"array('d', [-0.13016245425716172, 0.08631933594464393, -0.1276231426143769, 0.11878796305487])"
1724595496105915531,"array('d', [-0.10564811983433924, 0.10494719909739682, -0.12388363576377061, 0.14737921452088698])"
1724595496112596802,"array('d', [-0.09438392366692976, 0.1185061213531385, -0.10867134041833443, 0.15030455878575955])"
1724595496121790287,"array('d', [-0.10609940333584211, 0.15523457845562905, -0.09203236616749412, 0.1415771484206414])"
